Time(s), CPU%, Memory(MB)
1750802710.258518, 101.1, 235.421875
1750802711.979778, 99.1, 346.265625
1750802713.0578408, 99.3, 521.046875
1750802714.0670469, 59.4, 273.984375
1750802715.070248, 0.0, 265.96875
1750802716.075386, 0.0, 266.03125
1750802717.080597, 0.0, 266.046875
1750802718.086255, 0.0, 56.03125
1750802719.0926259, 0.1, 55.765625
1750802720.0950458, 0.1, 55.765625
1750802721.0977511, 1.5, 75.546875
1750802722.102489, 0.1, 55.828125
1750802723.1079009, 0.1, 55.75
1750802724.118092, 0.1, 55.75
1750802725.127292, 0.1, 55.75
1750802726.143051, 0.1, 55.75
1750802727.151716, 0.1, 55.75
1750802728.176276, 0.1, 55.734375
1750802729.191338, 0.1, 55.734375
1750802730.1963189, 0.1, 55.734375
1750802731.199549, 0.1, 55.734375
1750802732.212841, 0.1, 55.734375
1750802733.222634, 0.2, 55.734375
1750802734.2282481, 0.1, 55.734375
1750802735.2365, 0.1, 55.734375
1750802736.2437918, 0.1, 55.734375
1750802737.2517388, 0.1, 55.734375
1750802738.257898, 0.1, 55.734375
1750802739.2721438, 0.2, 55.734375
1750802740.280464, 0.1, 55.734375
1750802741.292993, 0.1, 55.734375
1750802742.2977421, 0.1, 55.734375
1750802743.3079722, 0.1, 55.734375
1750802744.312732, 0.1, 55.734375
1750802745.321084, 0.1, 55.734375
1750802746.331062, 0.1, 55.734375
1750802747.336598, 0.1, 55.734375
1750802748.343101, 0.1, 55.734375
1750802749.346535, 0.1, 55.734375
1750802750.350091, 0.1, 55.734375
1750802751.355056, 0.1, 55.734375
1750802752.358496, 0.1, 55.734375
1750802753.363473, 0.1, 55.734375
1750802754.37125, 0.1, 55.734375
1750802755.380106, 0.1, 55.734375
1750802756.386691, 0.1, 55.734375
1750802757.389876, 0.1, 55.734375
1750802758.396231, 0.1, 55.734375
1750802759.401728, 0.1, 55.734375
1750802760.410754, 0.2, 55.734375
1750802761.4151108, 0.1, 55.734375
1750802762.4190872, 0.1, 55.734375
1750802763.429398, 0.2, 55.734375
1750802764.441492, 0.1, 55.734375
1750802765.445718, 0.1, 55.734375
1750802766.450315, 0.1, 55.734375
1750802767.458892, 0.1, 55.734375
1750802768.462566, 0.1, 55.734375
1750802769.469125, 0.2, 55.734375
1750802770.483408, 0.1, 55.734375
1750802771.487545, 0.1, 55.734375
1750802772.4942322, 0.1, 55.734375
1750802773.501313, 0.2, 55.734375
1750802774.5072289, 0.1, 55.734375
1750802775.5181172, 0.1, 55.734375
1750802776.522481, 0.1, 55.734375
1750802777.525409, 0.1, 55.734375
1750802778.5363479, 0.1, 55.734375
1750802779.541447, 0.1, 55.734375
1750802780.549879, 0.1, 55.734375
1750802781.552896, 0.1, 55.734375
1750802782.5566132, 0.1, 55.734375
1750802783.5608199, 0.1, 55.734375
1750802784.5637681, 0.1, 55.734375
1750802785.572691, 0.1, 55.734375
1750802786.575676, 0.1, 55.734375
1750802787.582033, 0.1, 55.734375
1750802788.5901382, 0.1, 55.734375
1750802789.59257, 0.1, 55.734375
1750802790.599703, 0.1, 55.734375
1750802791.604693, 0.1, 55.734375
1750802792.613968, 0.1, 55.734375
1750802793.618544, 0.1, 55.734375
1750802794.62672, 0.1, 55.734375
1750802795.629382, 0.1, 55.734375
1750802796.634908, 0.1, 55.734375
1750802797.638867, 0.1, 55.734375
1750802798.699033, 0.1, 55.734375
1750802799.703358, 0.1, 55.734375
1750802800.706421, 0.1, 55.734375
1750802801.709206, 0.1, 55.734375
1750802802.711971, 0.1, 55.734375
1750802803.7176828, 0.2, 55.734375
1750802804.726945, 0.0, 55.734375
1750802805.734894, 0.1, 55.734375
1750802806.741567, 0.1, 55.734375
1750802807.748002, 0.1, 55.734375
1750802808.7555132, 0.1, 55.734375
1750802809.76321, 0.1, 55.734375
1750802810.770462, 0.1, 55.734375
1750802811.775444, 0.1, 55.734375
1750802812.784012, 0.1, 55.734375
1750802813.790987, 0.1, 55.734375
1750802814.7990289, 0.1, 55.734375
1750802815.8091362, 0.1, 55.734375
1750802816.815365, 0.1, 55.734375
1750802817.820608, 0.2, 55.734375
1750802818.82621, 0.1, 55.734375
1750802819.8384619, 0.1, 55.734375
1750802820.844401, 0.1, 55.734375
1750802821.8473432, 0.1, 55.734375
1750802822.853931, 0.1, 55.734375
1750802823.856023, 0.1, 55.734375
1750802824.86706, 0.2, 55.734375
1750802825.870431, 0.1, 55.734375
1750802826.878567, 0.1, 55.734375
1750802827.881972, 0.1, 55.734375
1750802828.886038, 0.1, 55.734375
1750802829.88906, 0.1, 55.734375
