x,y
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,16
59,255
60,1793
61,5837
62,9671
63,11207
64,11186
65,11115
66,11225
67,11097
68,10923
69,10986
70,11359
71,11161
72,11076
73,11234
74,11265
75,11428
76,11138
77,11406
78,11504
79,11375
80,11474
81,11603
82,11813
83,12090
84,12239
85,12447
86,12804
87,13172
88,13738
89,14418
90,14474
91,14144
92,13973
93,14253
94,14320
95,14987
96,14990
97,15269
98,15539
99,15839
100,16094
101,16266
102,16916
103,17496
104,18108
105,18609
106,19279
107,19932
108,20865
109,21734
110,22810
111,23694
112,24157
113,24878
114,25437
115,26273
116,26678
117,26834
118,27673
119,29333
120,34982
121,40930
122,37031
123,30094
124,27721
125,28185
126,28887
127,28411
128,27983
129,27563
130,27658
131,28313
132,29102
133,31098
134,32962
135,34188
136,33150
137,30406
138,28104
139,28431
140,31399
141,38872
142,45691
143,49939
144,47154
145,43865
146,47720
147,70501
148,95505
149,84909
150,51984
151,34124
152,30438
153,33901
154,54682
155,83791
156,77780
157,56299
158,47210
159,50142
160,51773
161,44912
162,38343
163,28829
164,24934
165,29261
166,33814
167,28427
168,20110
169,17450
170,19444
171,22491
172,21745
173,20885
174,22441
175,24126
176,22303
177,17364
178,15567
179,17135
180,18978
181,18421
182,17144
183,15958
184,15315
185,15006
186,14973
187,14998
188,15373
189,15342
190,15766
191,15932
192,15865
193,16311
194,16619
195,16899
196,16953
197,17388
198,17116
199,17110
200,17051
201,17117
202,20085
203,24488
204,26482
205,28746
206,30075
207,27608
208,24289
209,21410
210,16977
211,15948
212,16506
213,18699
214,26431
215,31994
216,30317
217,24014
218,21065
219,19213
220,17028
221,15029
222,14818
223,14643
224,14353
225,14339
226,14218
227,13844
228,13115
229,13314
230,13267
231,13643
232,13792
233,13757
234,13975
235,13931
236,13978
237,14118
238,14420
239,15567
240,16366
241,16508
242,15862
243,14592
244,14188
245,13854
246,14034
247,13647
248,13949
249,14511
250,15159
251,15802
252,15428
253,15566
254,15413
255,15277
256,15236
257,15082
258,15000
259,14837
260,14985
261,14974
262,14829
263,14570
264,14861
265,14518
266,14918
267,16812
268,19306
269,19701
270,18535
271,17223
272,16478
273,15447
274,14954
275,14516
276,14070
277,13760
278,14158
279,14988
280,15478
281,15155
282,14261
283,14777
284,15273
285,15511
286,15302
287,15127
288,15049
289,15208
290,15110
291,15070
292,14888
293,14706
294,14877
295,14930
296,15012
297,15234
298,14893
299,14711
300,14886
301,15129
302,14879
303,14194
304,13807
305,13975
306,14889
307,17526
308,19602
309,18999
310,17986
311,17761
312,18711
313,17954
314,16669
315,15072
316,13835
317,13362
318,12899
319,12513
320,12976
321,13112
322,12980
323,13460
324,13349
325,13541
326,13559
327,13689
328,13650
329,13933
330,13445
331,13302
332,13648
333,13606
334,15048
335,18922
336,24406
337,26747
338,28486
339,31039
340,32726
341,32350
342,29810
343,26927
344,24660
345,21191
346,17912
347,15372
348,12976
349,11870
350,11476
351,11202
352,10984
353,10734
354,10914
355,11308
356,11599
357,12190
358,11574
359,10396
360,9770
361,9583
362,9537
363,9629
364,9612
365,9815
366,10261
367,11174
368,14454
369,17679
370,19367
371,21540
372,19286
373,17254
374,14089
375,12034
376,10831
377,10439
378,10034
379,9327
380,8787
381,9181
382,9810
383,10291
384,10089
385,9354
386,9006
387,8909
388,8995
389,8942
390,8999
391,9255
392,9953
393,10500
394,10867
395,10050
396,9294
397,9025
398,8960
399,8920
400,8580
401,8507
402,8870
403,9325
404,9235
405,9322
406,9547
407,10578
408,14201
409,26023
410,47095
411,55978
412,42435
413,22449
414,12772
415,8639
416,8233
417,8527
418,9203
419,9714
420,10260
421,10700
422,10867
423,11195
424,11339
425,11542
426,12273
427,12420
428,12547
429,13240
430,13248
431,12414
432,11579
433,10908
434,9777
435,8150
436,7160
437,7149
